tradedate,instrumentsymbol,midprice
2025-01-01,AUDCAD,0.8900645
2025-01-01,AUDCHF,0.5609496
2025-01-01,AUDCNH,4.5356911
2025-01-01,AUDDKK,4.453955
2025-01-01,AUDHUF,245.7557
2025-01-01,AUDJPY,97.18687
2025-01-01,AUDNOK,7.0204874
2025-01-01,AUDNZD,1.1052321
2025-01-01,AUDPLN,2.5500238
2025-01-01,AUDSEK,6.8461886
2025-01-01,AUDSGD,0.8444309
2025-01-01,AUDUSD,0.6183
2025-01-01,AUDZAR,11.6924858
2025-01-01,BWPUSD,0.0713
2025-01-01,CADCHF,0.6302348
2025-01-01,CADJPY,109.19082
2025-01-01,CADMXN,14.4584883
2025-01-01,CADSGD,0.94873
2025-01-01,CADZAR,13.1366726
2025-01-01,CCFUSD,11142.0
2025-01-01,CHFDKK,7.9400272
2025-01-01,CHFHUF,438.10658
2025-01-01,CHFJPY,173.25419
2025-01-01,CHFNOK,12.5153624
2025-01-01,CHFPLN,4.5459055
2025-01-01,CHFSEK,12.2046415
2025-01-01,CHFSGD,1.5053596
2025-01-01,CHFZAR,20.8440939
2025-01-01,CNHJPY,21.42714
2025-01-01,EURAUD,1.6743571
2025-01-01,EURCAD,1.4902858
2025-01-01,EURCHF,0.9392299
2025-01-01,EURCNH,7.5943667
2025-01-01,EURCZK,25.188375
2025-01-01,EURDKK,7.4575112
2025-01-01,EURGBP,0.82781
2025-01-01,EURHKD,8.041131
2025-01-01,EURHUF,411.4828
2025-01-01,EURILS,3.770554
2025-01-01,EURJPY,162.72552
2025-01-01,EURMXN,21.5472799
2025-01-01,EURNOK,11.7548029
2025-01-01,EURNZD,1.8505532
2025-01-01,EURPLN,4.2696504
2025-01-01,EURRUB,114.8710666
2025-01-01,EURSEK,11.4629645
2025-01-01,EURSGD,1.4138788
2025-01-01,EURTRY,36.5833236
2025-01-01,EURUSD,1.035255
2025-01-01,EURZAR,19.5773967
2025-01-01,FAUUSD,2624.575
2025-01-01,GAGUSD,0.9295
2025-01-01,GAUCNH,619.0052
2025-01-01,GAUUSD,84.37495
2025-01-01,GBPAUD,2.0226346
2025-01-01,GBPCAD,1.8002753
2025-01-01,GBPCHF,1.1345961
2025-01-01,GBPCNH,9.174046
2025-01-01,GBPCZK,30.4277267
2025-01-01,GBPDKK,9.0087236
2025-01-01,GBPHKD,9.7137403
2025-01-01,GBPHUF,497.07399
2025-01-01,GBPJPY,196.57352
2025-01-01,GBPMXN,26.029259
2025-01-01,GBPNOK,14.1998809
2025-01-01,GBPNZD,2.2354808
2025-01-01,GBPPLN,5.1577664
2025-01-01,GBPSEK,13.8473382
2025-01-01,GBPSGD,1.7079751
2025-01-01,GBPTRY,44.1929008
2025-01-01,GBPUSD,1.250595
2025-01-01,GBPZAR,23.6496269
2025-01-01,HKDCNH,0.9444401
2025-01-01,HKDJPY,20.23665
2025-01-01,HKDZAR,2.4346571
2025-01-01,INRJPY,1.8294121
2025-01-01,KCFUSD,318.25
2025-01-01,LAUHKD,24774.468
2025-01-01,MXNJPY,7.5520215
2025-01-01,NOKJPY,13.84332
2025-01-01,NOKSEK,0.9751728
2025-01-01,NZDCAD,0.8053191
2025-01-01,NZDCHF,0.5075401
2025-01-01,NZDCNH,4.1038358
2025-01-01,NZDHUF,222.35664
2025-01-01,NZDJPY,87.93345
2025-01-01,NZDSEK,6.1943446
2025-01-01,NZDSGD,0.7640303
2025-01-01,NZDUSD,0.55943
2025-01-01,NZDZAR,10.5792129
2025-01-01,PLNJPY,38.11214
2025-01-01,SEKJPY,14.19576
2025-01-01,SGDJPY,115.09156
2025-01-01,TRYJPY,4.44808
2025-01-01,UKOUSD,74.5835
2025-01-01,USDBRL,6.213515
2025-01-01,USDCAD,1.439535
2025-01-01,USDCHF,0.907245
2025-01-01,USDCLP,994.635
2025-01-01,USDCNH,7.335745
2025-01-01,USDCOP,4423.59
2025-01-01,USDCZK,24.3306
2025-01-01,USDDKK,7.20355
2025-01-01,USDGHS,14.9195
2025-01-01,USDHKD,7.767295
2025-01-01,USDHUF,397.47
2025-01-01,USDIDR,16293.65
2025-01-01,USDILS,3.64215
2025-01-01,USDINR,85.9205
2025-01-01,USDJPY,157.184
2025-01-01,USDKES,128.8
2025-01-01,USDKRW,1476.05
2025-01-01,USDMXN,20.8135
2025-01-01,USDMYR,4.4875
2025-01-01,USDNOK,11.3545
2025-01-01,USDPHP,58.3225
2025-01-01,USDPLN,4.12425
2025-01-01,USDRON,4.80075
2025-01-01,USDRUB,110.9592
2025-01-01,USDSAR,3.75577
2025-01-01,USDSEK,11.0726
2025-01-01,USDSGD,1.36573
2025-01-01,USDTHB,34.356
2025-01-01,USDTRY,35.3375
2025-01-01,USDTWD,32.867
2025-01-01,USDUGX,3667.0
2025-01-01,USDZAR,18.9107
2025-01-01,USDZMW,28.0
2025-01-01,USOUSD,71.632
2025-01-01,USTUSD,0.99791
2025-01-01,XAGEUR,27.926936
2025-01-01,XAGSGD,39.4853
2025-01-01,XAGUSD,28.9115
2025-01-01,XALUSD,2556.0
2025-01-01,XAUAUD,4244.8245
2025-01-01,XAUCNH,19253.2129
2025-01-01,XAUEUR,2535.19664
2025-01-01,XAUGBP,2098.661
2025-01-01,XAUHKD,20385.848
2025-01-01,XAUJPY,412541.1968
2025-01-01,XAUSGD,3584.4608
2025-01-01,XAUTHB,90169.8987
2025-01-01,XAUTRY,92745.91906
2025-01-01,XAUUSD,2624.575
2025-01-01,XCUUSD,8791.05
2025-01-01,XNGUSD,3.4655
2025-01-01,XNIUSD,15342.125
2025-01-01,XPBUSD,1954.525
2025-01-01,XPDUSD,911.95
2025-01-01,XPTUSD,905.35
2025-01-01,XZNUSD,2989.3
2025-01-01,ZARJPY,8.31191
2025-01-01,ZARMXN,1.1006203
2025-01-01,ZCFUSD,461.75
2025-01-01,ZSFUSD,1011.65
2025-01-01,ZWFUSD,555.65
2025-01-02,AUDCAD,0.8938695
2025-01-02,AUDCHF,0.5660975
2025-01-02,AUDCNH,4.554531
2025-01-02,AUDDKK,4.5095564
2025-01-02,AUDHUF,250.07484
2025-01-02,AUDJPY,97.74398
2025-01-02,AUDNOK,7.0708666
2025-01-02,AUDNZD,1.109252
2025-01-02,AUDPLN,2.581756
2025-01-02,AUDSEK,6.9226267
2025-01-02,AUDSGD,0.8503283
2025-01-02,AUDUSD,0.62051
2025-01-02,AUDZAR,11.6426291
2025-01-02,BWPUSD,0.0718
2025-01-02,CADCHF,0.6333111
2025-01-02,CADJPY,109.34927
2025-01-02,CADMXN,14.3081067
2025-01-02,CADSGD,0.9512891
2025-01-02,CADZAR,13.0249767
2025-01-02,CCFUSD,10871.0
2025-01-02,CHFDKK,7.9660422
2025-01-02,CHFHUF,441.75226
2025-01-02,CHFJPY,172.6628
2025-01-02,CHFNOK,12.490546
2025-01-02,CHFPLN,4.5606208
2025-01-02,CHFSEK,12.2286832
2025-01-02,CHFSGD,1.5020881
2025-01-02,CHFZAR,20.5664741
2025-01-02,CNHJPY,21.46082
2025-01-02,EURAUD,1.6539298
2025-01-02,EURCAD,1.4783974
2025-01-02,EURCHF,0.9362855
